Place_Id,Place_Name,Category,City,Rating,Price,Description,tags
1,Monumen Nasional,Budaya,Jakarta,4.6,20000,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",monumen nasional atau yang populer singkat dengan monas atau tugu monas adalah monumen ingat setinggi 132 meter 433 kaki yang diri untuk kenang lawan dan juang rakyat indonesia untuk rebut merdeka dari perintah kolonial hindia belanda bangun monumen ini mulai pada tanggal 17 agustus 1961 di bawah perintah presiden soekarno dan buka untuk umum pada tanggal 12 juli 1975 tugu ini mahkota lidah api yang lapis lembar emas yang melambang semangat juang yang nyala nyala monumen nasional letak tepat di tengah lapang medan merdeka jakarta pusat budaya budaya budaya budaya budaya jakarta jakarta jakarta jakarta jakarta 
2,Kota Tua,Budaya,Jakarta,4.6,0,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",kota tua di jakarta yang juga nama kota tua pusat di alun alun fatahillah yaitu alun alun yang ramai dengan tunjuk rutin tari tradisional museum sejarah jakarta adalah bangun era belanda dengan lukis dan barang antik sedang museum wayang pamer boneka kayu khas jawa desa glodok atau chinatown kenal dengan makan kaki lima seperti pangsit dan mi goreng di dekat dapat sekunar dan kapal tangkap ikan di labuh sunda kelapa yang kuno budaya budaya budaya budaya budaya jakarta jakarta jakarta jakarta jakarta 
3,Dunia Fantasi,Taman Hiburan,Jakarta,4.6,270000,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",dunia fantasi atau sebut juga dufan adalah tempat hibur yang letak di kawasan taman impi jaya ancol jakarta utara indonesia dufan resmi dan buka pada tanggal 29 agustus 1985 taman hibur taman hibur taman hibur taman hibur taman hibur jakarta jakarta jakarta jakarta jakarta 
4,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,4.5,10000,"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT",taman mini indonesia indah rupa suatu kawasan taman wisata tema budaya indonesia di jakarta timur area luas kurang lebih 150 hektare atau 1 5 kilometer persegi ini letak pada koordinat 6 18 6 8 ls 106 53 47 2 bt taman hibur taman hibur taman hibur taman hibur taman hibur jakarta jakarta jakarta jakarta jakarta 
5,Atlantis Water Adventure,Taman Hiburan,Jakarta,4.5,94000,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",atlantis water adventure atau kenal dengan atlantis ancol akan suguh tualang wisata air tak lupa tempat wisata tema main air dengan luas 5 hektar ini beri sensasi tualang di 8 kolam utama yaitu kolam antila plaza atlas poseidon aquarius octopus kiddy pool dan atlantean lokasi di kawasan ancol jakarta baycity atlantis bisa jadi pilih destinasi yang pas untuk wisata renang taman hibur taman hibur taman hibur taman hibur taman hibur jakarta jakarta jakarta jakarta jakarta 
6,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,4.5,25000,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,taman impi jaya ancol rupa buah objek wisata di jakarta utara n n taman hibur taman hibur taman hibur taman hibur taman hibur jakarta jakarta jakarta jakarta jakarta 
7,Kebun Binatang Ragunan,Cagar Alam,Jakarta,4.5,4000,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",kebun binatang ragunan adalah buah kebun binatang yang letak di daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang luas 140 hektare ini diri pada tahun 1864 di dalam dapat bagai koleksi yang diri dari 295 spesies dan 4040 spesimen nragunan sempat tutup lama sekitar tiga minggu sejak 19 september 2005 karena hewan hewan di dalam ada yang infeksi flu burung tetapi buka kembali pada 11 oktober 2005 kebun binatang ini milik banyak spesies hewan yang langka antara lain kakatua orangutan gorila anoa dan gajah cagar alam cagar alam cagar alam cagar alam cagar alam jakarta jakarta jakarta jakarta jakarta 
8,Ocean Ecopark,Taman Hiburan,Jakarta,4.0,180000,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.",ocean ecopark salah satu zona rekreasi ancol yang tawar ruang buka hijau serta alam dan tidak lupa sisi didik bagi para unjung agam aktivitas dan wahana seru yang bisa main di tempat rekreasi keluarga beberapa antara outbondholic rumah energy rumah lebah kano paintball outbondholic eco market learning farm eco bike faunaland kalau rencana wisata ke ocean eco park ancol tidak perlu khawatir dengan harga tiket masuk karena harga tiket masuk ocean eco park tawar dengan harga yang masih jangkau taman hibur taman hibur taman hibur taman hibur taman hibur jakarta jakarta jakarta jakarta jakarta 
9,Pelabuhan Marina,Bahari,Jakarta,4.4,175000,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",labuh marina ancol ada di kawasan taman impi jaya ancol jakarta labuh yang biasa sebut dermaga marina ancol ini adalah kawasan yang tidak hanya untuk perlu seberang saja tetapi juga kembang untuk banyak hal seperti wisata air olahraga air maupun wahana main fungsi utama dari labuh ini adalah untuk layan para tumpang yang ingin seberang tuju ke pulau ribu begitu juga balik banyak orang yang ada di jakarta dan sekitar jadi kepulaun ribu bagai tuju wisata yang utama libur di pulau ribu memang mampu hilang penat kerja di kota metropolitan sembari nikmat indah pantai yang masih jaga dengan baik marina ancol ada di jakarta utara atau cara lengkap alamat di kota tua ancol pademangan kota jakarta sangat mudah tuju ke tempat ini karena tidak terlalu jauh dari pusat kota selain itu ada banyak transportasi umum yang tuju ke tempat ini atau bisa juga guna jasa transportasi online bahari bahari bahari bahari bahari jakarta jakarta jakarta jakarta jakarta 
10,Pulau Tidung,Bahari,Jakarta,4.5,150000,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",pulau tidung adalah salah satu lurah di camat pulau ribu selatan kabupaten pulau ribu jakarta indonesia bahari bahari bahari bahari bahari jakarta jakarta jakarta jakarta jakarta 
